text,label
I love this product,1
This item is amazing,1
Great quality and performance,1
Very happy with this purchase,1
Excellent product design,1
Fantastic experience using this item,1
This works perfectly,1
Very satisfied with the results,1
Highly recommended product,1
Best purchase ever,1
Wonderful product quality,1
Superb performance overall,1
Great value for money,1
I really like this item,1
Very reliable product,1
Amazing quality and design,1
Very comfortable to use,1
This product exceeded expectations,1
Very good experience,1
Excellent and reliable item,1
I hate this product,0
This item is terrible,0
Very poor quality,0
I am disappointed with this purchase,0
Waste of money,0
Very bad experience,0
Does not work properly,0
Extremely poor performance,0
Not recommended product,0
Worst purchase ever,0
Very frustrating to use,0
Awful product quality,0
Completely useless item,0
Bad design and quality,0
Very unreliable product,0
The product stopped working,0
This is a terrible item,0
I regret buying this product,0
Very disappointing experience,0
Poor build quality,0
I love the design of this item,1
This is a fantastic product,1
Very impressive performance,1
Great purchase overall,1
Amazing value for the price,1
I enjoy using this product,1
Very happy with the quality,1
Excellent results every time,1
Highly satisfied customer,1
Great and reliable product,1
I dislike this product,0
Very bad quality item,0
Extremely disappointing purchase,0
This product failed quickly,0
Very poor performance overall,0
Not worth the price,0
Terrible experience using it,0
I am unhappy with this purchase,0
Very cheap quality material,0
This item is useless,0
Worst quality ever,0
Very unreliable performance,0
Bad purchase decision,0
Very negative experience overall,0
The product is defective,0
This is not good at all,0
I love how this product works,1
Excellent performance overall,1
Very useful and practical item,1
Great quality build,1
Very smooth performance,1
Amazing and reliable product,1
Very good purchase decision,1
Excellent product design and quality,1
Very positive experience overall,1
Really happy with the results,1
Great product quality,1
This product is horrible,0
Very disappointing product quality,0
Poor design and functionality,0
Very bad experience overall,0
This item broke quickly,0
Completely disappointed customer,0
Very weak performance,0
Bad quality item overall,0
Extremely poor product design,0
Very unsatisfied customer,0
Awful design and usability,0
Very bad purchase overall,0
The product does not work,0
Very frustrating experience using it,0
Not a good product choice,0
This is an amazing item,1
I really love this product,1
Excellent quality material used,1
Very good and reliable item,1
Perfect product for daily use,1
Great and helpful item,1
Amazing functionality overall,1
Very good design quality,1
Highly impressed with this item,1
Very satisfied with the purchase,1
Fantastic build quality overall,1
Worst product quality I have seen,0
Very poor item quality,0
Terrible and useless product,0
Bad experience using this item,0
Very low quality product design,0
I hate the design of this product,0
Very disappointing quality overall,0
Completely useless product design,0
Very bad functionality overall,0
Extremely poor quality item,0
Not satisfied at all with this,0
Badly made product design,0
Very unreliable product quality,0
Great experience overall,1
Very good functionality overall,1
Amazing purchase experience,1
Very comfortable product design,1
Great and amazing item overall,1
Highly recommended item overall,1
Excellent quality product design,1
Very happy customer experience,1
This product is great overall,1
Amazing experience using it,1
Great and impressive performance,1
Very positive feedback overall,1
Excellent service and quality,1
Worst experience ever with a product,0
Very negative purchase experience,0
Terrible product quality overall,0
Very poor design and usability,0
Extremely disappointing product,0
Bad product performance overall,0
Completely bad item quality,0
Very frustrating product experience,0
Very bad reliability overall,0
Poor quality design overall,0
Worst design ever seen,0
